,State Name,Year,Defining Parameter,AQI,Latitude,Longitude
10142,Virginia,2020,PM10,7.242424242424242,37.76743853333334,-78.81076144242424
10143,Virginia,2020,PM2.5,31.521494370522007,37.66636989406346,-78.1626403689867
10144,Virginia,2020,SO2,21.8984375,37.49328445052084,-80.1235819140625
10145,Virginia,2021,Ozone,31.745562130177515,37.69264378698225,-79.07676917159763
10146,Virginia,2021,PM10,4.142857142857143,37.43638557142857,-77.3878832857143
10147,Washington,1980,CO,60.248948696383515,46.91300331034483,-120.63632407737595
10148,Washington,1980,NO2,83.71428571428571,47.386111,-122.230278
10149,Washington,1980,Ozone,35.990228013029316,46.46624871661238,-122.37344036807818
10150,Washington,1980,SO2,61.94083333333333,47.35400442,-122.46116017166666
10151,Washington,1981,CO,57.91645569620253,46.85629162025316,-120.55798713924051
10152,Washington,1981,NO2,90.16666666666667,47.386111,-122.230278
10153,Washington,1981,Ozone,41.01908396946565,46.423963110687026,-122.31981707633588
10154,Washington,1981,SO2,60.65364775239499,47.375053803242444,-122.46741583124539
10155,Washington,1982,CO,52.32050209205021,46.91002622594142,-120.56540772384936
10156,Washington,1982,NO2,110.25454545454545,47.386111,-122.230278
10157,Washington,1982,Ozone,42.21612903225807,46.63008432258065,-122.25525317741936
10158,Washington,1982,SO2,57.817546583850934,47.32486431677018,-122.51781910326088
10159,Washington,1983,CO,53.80813008130081,47.041659593495936,-120.69097468211383
10160,Washington,1983,NO2,59.72,47.386111,-122.230278
10161,Washington,1983,Ozone,34.44957983193277,46.357600504201685,-122.37361045378152
10162,Washington,1983,SO2,55.24424552429667,47.5453760971867,-122.29172183120205
10163,Washington,1984,CO,48.94544037412315,46.97180625798909,-120.77285401402962
10164,Washington,1984,NO2,58.65384615384615,47.386111,-122.230278
10165,Washington,1984,Ozone,35.18928571428572,46.59991173214286,-121.69425079642858
10166,Washington,1984,SO2,51.69934354485777,47.62574186520788,-122.48595791159738
10167,Washington,1985,CO,51.026532479414456,47.108703281793225,-120.62977088472095
10168,Washington,1985,NO2,56.78409090909091,47.386111,-122.230278
10169,Washington,1985,Ozone,40.84398496240601,46.51328405827068,-121.78793419548873
