year,state,AverageTemperature
1998,Alabama,18.786833333333334
1998,Alaska,-3.063
1998,Arizona,15.258083333333333
1998,Arkansas,17.487916666666667
1998,California,13.905583333333333
1998,Colorado,7.808333333333334
1998,Connecticut,11.117166666666668
1998,Delaware,13.890333333333336
1998,District Of Columbia,14.073583333333334
1998,Florida,22.955250000000003
1998,Georgia (State),19.158333333333335
1998,Hawaii,22.571250000000003
1998,Idaho,6.432166666666666
1998,Illinois,13.229833333333334
1998,Indiana,13.242583333333334
1998,Iowa,11.053833333333332
1998,Kansas,13.785750000000002
1998,Kentucky,14.897916666666667
1998,Louisiana,20.643416666666667
1998,Maine,6.562083333333333
1998,Maryland,14.175666666666666
1998,Massachusetts,9.84825
1998,Michigan,9.387
1998,Minnesota,7.432416666666666
1998,Mississippi,19.27508333333333
1998,Missouri,14.31075
1998,Montana,6.696583333333334
1998,Nebraska,10.608
1998,Nevada,9.609583333333333
1998,New Hampshire,8.020750000000001
1998,New Jersey,12.785000000000002
1998,New Mexico,12.577416666666666
1998,New York,9.686416666666668
1998,North Carolina,16.435666666666666
1998,North Dakota,6.509083333333334
1998,Ohio,12.644083333333334
1998,Oklahoma,17.06383333333333
1998,Oregon,8.897083333333333
1998,Pennsylvania,11.472416666666668
1998,Rhode Island,11.054333333333334
1998,South Carolina,18.638749999999998
1998,South Dakota,8.929083333333333
1998,Tennessee,15.936083333333334
1998,Texas,19.608166666666666
1998,Utah,8.716416666666666
1998,Vermont,7.861249999999999
1998,Virginia,14.636333333333333
1998,Washington,9.123
1998,West Virginia,12.893083333333335
1998,Wisconsin,8.905333333333333
1998,Wyoming,6.0447500000000005
1999,Alabama,18.271083333333333
1999,Alaska,-5.627833333333332
1999,Arizona,16.000249999999998
1999,Arkansas,17.021
1999,California,14.53525
1999,Colorado,8.016166666666667
1999,Connecticut,10.844666666666667
1999,Delaware,13.329
1999,District Of Columbia,13.189
1999,Florida,22.27191666666667
1999,Georgia (State),18.502916666666668
1999,Hawaii,22.557083333333335
1999,Idaho,6.087
1999,Illinois,12.334166666666667
1999,Indiana,12.305
1999,Iowa,10.417416666666666
1999,Kansas,13.613916666666668
1999,Kentucky,14.328250000000002
1999,Louisiana,20.251833333333334
1999,Maine,6.7485
1999,Maryland,13.406333333333334
1999,Massachusetts,9.567333333333334
1999,Michigan,8.352500000000001
1999,Minnesota,6.781333333333333
1999,Mississippi,18.82766666666667
1999,Missouri,13.866166666666667
1999,Montana,6.798749999999999
1999,Nebraska,10.801666666666668
1999,Nevada,10.326416666666669
1999,New Hampshire,7.667916666666667
1999,New Jersey,12.170250000000001
1999,New Mexico,12.6245
1999,New York,8.915083333333333
1999,North Carolina,15.809583333333334
1999,North Dakota,6.4188333333333345
1999,Ohio,11.731250000000001
1999,Oklahoma,16.691583333333334
1999,Oregon,8.541
1999,Pennsylvania,10.545833333333333
1999,Rhode Island,10.823083333333335
1999,South Carolina,17.95275
1999,South Dakota,9.10275
1999,Tennessee,15.42075
1999,Texas,19.383166666666664
1999,Utah,9.225583333333333
1999,Vermont,7.423416666666667
1999,Virginia,13.973166666666666
1999,Washington,8.242666666666667
1999,West Virginia,12.18875
1999,Wisconsin,7.84
1999,Wyoming,6.413333333333334
2000,Alabama,17.911333333333335
2000,Alaska,-3.30175
2000,Arizona,16.510250000000003
2000,Arkansas,16.362583333333333
2000,California,15.019333333333334
2000,Colorado,8.204833333333333
2000,Connecticut,9.581
2000,Delaware,12.347583333333333
2000,District Of Columbia,12.27775
2000,Florida,21.951999999999998
2000,Georgia (State),17.920666666666666
2000,Hawaii,22.9415
2000,Idaho,6.239
2000,Illinois,11.582916666666668
2000,Indiana,11.415916666666668
2000,Iowa,9.809666666666667
2000,Kansas,13.343583333333333
2000,Kentucky,13.479500000000002
2000,Louisiana,19.91325
2000,Maine,5.210583333333333
2000,Maryland,12.513333333333334
2000,Massachusetts,8.28675
2000,Michigan,7.579833333333333
2000,Minnesota,5.710249999999999
2000,Mississippi,18.429333333333332
2000,Missouri,13.19675
2000,Montana,5.835833333333333
2000,Nebraska,10.194666666666667
2000,Nevada,10.847500000000002
2000,New Hampshire,6.291
2000,New Jersey,11.076500000000001
2000,New Mexico,13.07575
2000,New York,7.737916666666667
2000,North Carolina,15.099916666666667
2000,North Dakota,5.364249999999999
2000,Ohio,10.875333333333336
2000,Oklahoma,16.142583333333334
2000,Oregon,8.677999999999999
2000,Pennsylvania,9.674833333333334
2000,Rhode Island,9.552916666666667
2000,South Carolina,17.322833333333335
2000,South Dakota,8.096166666666667
2000,Tennessee,14.701333333333336
2000,Texas,19.238
2000,Utah,9.761166666666666
2000,Vermont,6.032416666666666
2000,Virginia,13.203583333333334
2000,Washington,7.859916666666667
2000,West Virginia,11.466083333333335
2000,Wisconsin,7.023666666666667
2000,Wyoming,6.0879166666666675
2001,Alabama,17.67775
2001,Alaska,-3.727833333333333
2001,Arizona,16.257749999999998
2001,Arkansas,16.5075
2001,California,15.17125
2001,Colorado,8.142916666666666
2001,Connecticut,10.547333333333334
2001,Delaware,13.098
2001,District Of Columbia,12.993583333333333
2001,Florida,22.157083333333333
2001,Georgia (State),18.229166666666668
2001,Hawaii,23.06425
2001,Idaho,6.429333333333333
2001,Illinois,12.222416666666666
2001,Indiana,12.26525
2001,Iowa,10.06375
2001,Kansas,13.535666666666666
2001,Kentucky,14.018666666666666
2001,Louisiana,19.625083333333333
2001,Maine,6.133166666666667
2001,Maryland,13.182666666666668
2001,Massachusetts,9.195916666666667
2001,Michigan,8.524333333333333
2001,Minnesota,6.377
