"year","state","numcol","yieldpercol","totalprod","stocks","priceperlb","prodvalue","CO","NO2","Ozone","SO2","PM10","PM2.5","ALMONDS","APPLES","APRICOTS","AVOCADOS","PEACHES","PLUMS","SUNFLOWER","CHERRIES","STRAWBERRIES","BANANAS","BLACKBERRIES","total_food","temperature"
1980,"NH",NA,NA,NA,NA,NA,NA,47.1202393928222,NA,50.1335538106018,91.3650796375261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"NJ",NA,NA,NA,NA,NA,NA,49.3317877725371,52.1755608891888,67.2344333200352,57.381592170354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"NM",NA,NA,NA,NA,NA,NA,36.6529502473219,57.0503968253968,44.6363366734613,87.6535255069209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"NV",NA,NA,NA,NA,NA,NA,78.4275133248817,79.5086432616764,58.3843911526825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"NY",NA,NA,NA,NA,NA,NA,72.4076153999393,49.599062447645,54.7450779033723,77.8329519842995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"OH",NA,NA,NA,NA,NA,NA,49.5815801445996,63.6552623228345,48.0294830816413,71.7427583181063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"OK",NA,NA,NA,NA,NA,NA,53.4120255348516,48.5601767126552,51.3610774380912,89.4501082251082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"OR",NA,NA,NA,NA,NA,NA,53.8058760582987,53.5595238095238,33.4264947019129,89.8146513551432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"PA",NA,NA,NA,NA,NA,NA,55.6063131313131,52.3450210996472,66.4929256701091,76.9991326980777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"RI",NA,NA,NA,NA,NA,NA,66.1770262145262,59.2701623376623,62.9381262640892,85.4272560829338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"SC",NA,NA,NA,NA,NA,NA,30.9336178808257,46.1545948203843,56.8195565139458,38.743223275437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"TN",NA,NA,NA,NA,NA,NA,58.9758531596322,69.525,58.7595142273813,71.1835724464171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"TX",NA,NA,NA,NA,NA,NA,28.981104742006,48.3375321048777,59.2522980372295,74.9398485761233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"UT",NA,NA,NA,NA,NA,NA,52.2702422139264,42.7133976219264,56.5502303994277,58.2755962424714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"VA",NA,NA,NA,NA,NA,NA,27.0370206229039,48.8162048802954,51.1563611852164,44.7208948904616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"VT",NA,NA,NA,NA,NA,NA,18.9718855218855,NA,47.9194384707288,25.507778186916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"WA",NA,NA,NA,NA,NA,NA,59.6224609772687,80.8214285714286,30.432348696837,61.5657026602122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"WI",NA,NA,NA,NA,NA,NA,24.4518482186263,25.9319571506476,44.520190835073,86.5373233009673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"WV",NA,NA,NA,NA,NA,NA,38.3755952380952,33.6530784030784,38.5080118249832,73.7425864420103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3857924570134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"AK",NA,NA,NA,NA,NA,NA,47.1378918543422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"AL",NA,NA,NA,NA,NA,NA,46.4514705882353,44.0555175111627,57.4917413584681,81.6967414779873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"AR",NA,NA,NA,NA,NA,NA,NA,46.4228205128205,51.2653391149081,21.3928863069668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"AZ",NA,NA,NA,NA,NA,NA,51.1571903811369,48.821393729683,54.5262327095895,141.617959680587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"CA",NA,NA,NA,NA,NA,NA,52.4841351311766,48.0177497254935,62.9521845586366,69.1203588737322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"CO",NA,NA,NA,NA,NA,NA,39.6382223511205,63.2668277515181,45.3086300021146,74.8192690207396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"CT",NA,NA,NA,NA,NA,NA,73.2993173246368,44.6087580193368,58.7627375454579,65.6553100671517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"DC",NA,NA,NA,NA,NA,NA,68.9558994225016,65.5140225787285,105.64362244898,74.6392401458191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"DE",NA,NA,NA,NA,NA,NA,29.4809863339275,78.6043956043956,39.6310930735931,32.8258720367933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"FL",NA,NA,NA,NA,NA,NA,58.0297361210339,50.9774343958508,45.6744815376772,49.4800783481508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"GA",NA,NA,NA,NA,NA,NA,41.0242683814592,43.3035968660969,49.7201804194774,57.6125737688238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"HI",NA,NA,NA,NA,NA,NA,34.1551070271477,19.5,16.7222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
