state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,yeildpercol,CO,NO2,Ozone,PM10,PM2.5,SO2
Florida,228000.0,102.0,23256000.0,4186000.0,0.53,12326000.0,1999,,38.75757575757576,36.125,48.96295097880602,19.09105431309904,50.103911980440095,45.52982049797336
Georgia,65000.0,51.0,3315000.0,497000.0,0.64,2122000.0,1999,,20.375,29.486486486486488,76.5438262195122,23.508064516129032,65.92957746478874,24.82594417077176
Hawaii,8000.0,80.0,640000.0,32000.0,0.8,512000.0,1999,,16.0,20.25,26.57522123893805,21.708108108108107,34.01449275362319,31.492021276595743
Idaho,120000.0,48.0,5760000.0,3110000.0,0.59,3398000.0,1999,,26.05107084019769,35.45695364238411,45.31623931623932,22.61798616448885,33.44770642201835,40.10091743119266
Illinois,9000.0,66.0,594000.0,327000.0,1.15,683000.0,1999,,27.951219512195124,42.19875776397515,46.78413575374901,27.248756218905477,63.54694835680751,60.88229524276606
Indiana,10000.0,81.0,810000.0,437000.0,0.9,729000.0,1999,,17.068571428571428,43.09012875536481,68.58419567262465,27.525,58.18717683557394,45.41447634452083
Iowa,40000.0,65.0,2600000.0,2028000.0,0.65,1690000.0,1999,,19.36,,49.286677908937605,32.48892405063291,47.96642335766423,37.790719696969695
Kansas,13000.0,67.0,871000.0,854000.0,1.11,967000.0,1999,,31.53846153846154,43.01587301587302,53.95918367346939,32.89873417721519,52.654545454545456,50.88
Kentucky,3000.0,50.0,150000.0,12000.0,1.24,186000.0,1999,,13.04225352112676,27.78683385579937,71.93290973649785,26.6,57.34507772020726,46.536752136752135
Louisiana,48000.0,114.0,5472000.0,821000.0,0.49,2681000.0,1999,,27.0,36.12534059945504,53.32651809445921,35.5,55.10315186246418,60.952153110047846
Maine,14000.0,22.0,308000.0,89000.0,0.83,256000.0,1999,,,22.464912280701757,42.61270491803279,20.723140495867767,26.927835051546392,16.273684210526316
Maryland,6000.0,46.0,276000.0,50000.0,1.64,453000.0,1999,,31.852941176470587,37.96174863387978,66.66408018105399,18.416666666666668,55.58767772511848,39.785276073619634
